
Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2011 08 05 01 20 00 000    2.35    -5.60     0.54  -414.80    -27.60    -62.30    5.12    178252.0
 2011 08 05 01 21 00 000    2.46    -5.66     0.06  -411.10    -31.30    -64.80    5.40    186960.0
 2011 08 05 01 22 00 000    3.16    -5.36    -1.26  -411.10    -31.30    -64.80    5.40    186960.0
 2011 08 05 01 23 00 000    2.63    -5.63     0.14  -411.60    -32.50    -63.70    4.80    228529.0
 2011 08 05 01 24 00 000    2.71    -5.65    -0.85  -411.60    -32.50    -63.70    4.80    228529.0
 2011 08 05 01 25 00 000    2.60    -5.84    -0.15  -412.50    -35.50    -62.70    4.52    222379.0
 2011 08 05 01 26 00 000    2.36    -6.95     1.99  -412.70    -36.30    -62.50    4.45    220860.0
 2011 08 05 01 27 00 000    2.76    -7.07     1.30  -404.70    -55.90    -58.60    4.49    174528.0
 2011 08 05 01 28 00 000    2.26    -6.73     0.29  -404.70    -55.90    -58.60    4.49    174528.0
 2011 08 05 01 29 00 000    2.58    -6.49    -0.69  -413.30    -38.10    -65.00    5.92    128267.0
 2011 08 05 01 30 00 000    2.80    -6.28    -0.91  -413.40    -37.90    -65.10    5.94    127629.0
 2011 08 05 01 31 00 000    2.37    -6.12    -0.10  -414.70    -34.60    -66.40    5.38    120776.0
 2011 08 05 01 32 00 000    2.33    -6.03    -0.39  -414.60    -34.50    -66.50    5.40    122763.0
 2011 08 05 01 33 00 000    2.47    -5.99    -1.09  -412.30    -33.20    -67.80    5.78    154841.0
 2011 08 05 01 34 00 000    2.65    -6.00    -1.02  -406.30    -37.50    -64.40    5.09    158288.0
 2011 08 05 01 35 00 000    2.45    -5.91    -0.97  -405.20    -38.30    -63.80    4.98    158907.0
 2011 08 05 01 36 00 000    2.48    -5.83    -1.11  -404.90    -36.60    -60.00    5.59    137728.0
 2011 08 05 01 37 00 000    2.41    -5.79    -1.04  -405.90    -38.80    -62.10    5.35    143069.0
 2011 08 05 01 38 00 000    2.38    -5.65    -1.41  -407.50    -37.10    -63.70    5.45    157469.0
 2011 08 05 01 39 00 000    2.65    -5.70    -1.27  -408.30    -35.70    -64.20    5.57    164647.0
 2011 08 05 01 40 00 000    2.54    -6.23    -0.95  -406.60    -39.10    -62.00    5.35    139276.0
 2011 08 05 01 41 00 000    2.91    -5.23    -1.90  -408.40    -39.40    -59.60    5.25    144970.0
 2011 08 05 01 42 00 000    3.06    -5.76    -1.06  -407.80    -35.40    -62.10    5.40    137600.0
 2011 08 05 01 43 00 000    2.99    -6.30    -0.11  -408.90    -32.60    -61.80    5.45    130983.0
 2011 08 05 01 44 00 000    2.95    -5.97    -0.36  -417.40    -30.20    -50.60    5.20    120344.0
 2011 08 05 01 45 00 000    2.76    -5.89     0.17  -419.20    -15.40    -55.70    5.76    101464.0
 2011 08 05 01 46 00 000    2.80    -5.63    -0.21  -419.30    -14.50    -56.00    5.79    100365.0
 2011 08 05 01 48 00 000    3.45    -4.22    -2.07  -419.30    -14.50    -56.00    5.79    100365.0
 2011 08 05 01 49 00 000    3.03    -5.00    -1.63  -414.70    -19.60    -55.80    6.37    123174.0
 2011 08 05 01 50 00 000    3.32    -5.61    -1.17  -414.00    -18.90    -56.00    5.80    111524.0
 2011 08 05 01 51 00 000    2.96    -6.42     0.43  -408.70    -26.30    -62.70    4.52     96588.0
 2011 08 05 01 52 00 000    2.63    -6.61     0.77  -408.20    -27.10    -63.40    4.42     95690.0
 2011 08 05 01 53 00 000    2.83    -6.82     0.39  -409.10    -40.40    -46.20    4.56    146687.0
 2011 08 05 01 55 00 000    2.62    -7.05     0.56  -411.40    -31.60    -52.60    4.16    102746.0
 2011 08 05 01 56 00 000    2.25    -7.12     0.76  -411.10    -30.30    -53.50    4.26     99751.0
 2011 08 05 01 57 00 000    2.30    -7.02     0.94  -409.90    -25.70    -56.80    4.58     88953.0
 2011 08 05 01 58 00 000    2.52    -6.94     0.99  -411.10    -26.40    -59.10    4.03     92502.0
 2011 08 05 01 59 00 000    2.97    -6.87     0.36  -407.60    -32.20    -58.70    4.14    112924.0
 2011 08 05 02 00 00 000    2.87    -6.78     0.47  -404.60    -36.60    -58.00    4.35    127962.0
 2011 08 05 02 01 00 000    2.73    -6.83     0.47  -406.50    -33.20    -55.40    4.64     96413.0
 2011 08 05 02 02 00 000    2.94    -6.77     0.48  -407.00    -31.30    -56.90    4.60     95655.0
 2011 08 05 02 03 00 000    2.75    -6.84     0.54  -409.10    -23.10    -63.20    4.44     92398.0
 2011 08 05 02 04 00 000    2.75    -6.83     0.92  -409.10    -23.10    -63.20    4.44     92398.0
 2011 08 05 02 05 00 000    3.07    -6.72     0.43  -408.10    -26.70    -49.60    4.53    119922.0
 2011 08 05 02 06 00 000    3.42    -6.38    -0.20  -408.10    -26.80    -51.70    4.60    120259.0
 2011 08 05 02 07 00 000    3.40    -6.34    -0.09  -405.70    -21.60    -57.60    4.62    109419.0
 2011 08 05 02 08 00 000    3.68    -5.94    -1.03  -404.50    -19.10    -59.60    4.60    103064.0
 2011 08 05 02 09 00 000    3.42    -5.92    -0.86  -402.50    -19.20    -61.10    4.54     83542.0
 2011 08 05 02 10 00 000    3.34    -5.98    -0.54  -403.00    -19.30    -61.50    4.58     87255.0
 2011 08 05 02 11 00 000    3.40    -6.03    -0.33  -403.20    -19.40    -61.70    4.60     88750.0
 2011 08 05 02 12 00 000    3.30    -5.88    -0.30  -406.10    -15.50    -58.20    4.89     95542.0
 2011 08 05 02 13 00 000    3.26    -5.74    -0.32  -406.30    -15.60    -58.00    4.92     94401.0
 2011 08 05 02 14 00 000    4.28    -4.08    -2.10  -408.90    -17.60    -54.60    5.34     76546.0
 2011 08 05 02 15 00 000    4.67    -3.34    -2.99  -413.50    -15.10    -57.00    4.91    102269.0
 2011 08 05 02 16 00 000    5.04    -2.77    -3.62  -414.30    -15.10    -57.30    4.79    107285.0
 2011 08 05 02 17 00 000    5.08    -1.50    -4.24  -411.30    -32.30    -49.90    3.88    102297.0
 2011 08 05 02 18 00 000    5.19    -1.12    -4.54  -405.50    -35.40    -60.50    3.58    109461.0
 2011 08 05 02 19 00 000    5.12    -0.47    -4.86  -404.40    -36.00    -62.50    3.52    110826.0
 2011 08 05 02 20 00 000    5.00    -0.25    -4.97  -407.00    -32.90    -55.80    3.55    126077.0
 2011 08 05 02 21 00 000    4.96    -0.63    -4.74  -407.30    -33.60    -55.60    3.58    125727.0
 2011 08 05 02 22 00 000    5.05    -1.05    -4.64  -410.70    -42.70    -53.30    3.90    121318.0
 2011 08 05 02 23 00 000    4.54    -4.51    -2.53  -407.50    -36.70    -56.60    3.88    117006.0
 2011 08 05 02 24 00 000    4.53    -5.08    -1.84  -399.20    -21.30    -65.10    3.84    105860.0
